job_id,dominant_topic
0,7
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,1
11,7
12,7
13,7
14,7
15,1
16,1
17,1
18,1
19,1
20,7
21,7
22,7
23,3
24,7
25,3
26,9
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,0
35,7
36,7
37,7
38,7
39,7
40,0
41,9
42,7
43,7
44,7
45,7
46,7
47,1
48,1
49,1
50,7
51,7
52,7
53,1
54,1
55,7
56,7
57,1
58,7
59,7
60,7
61,7
62,7
63,6
64,7
65,1
66,7
67,9
68,9
69,7
70,7
71,7
72,7
73,1
74,1
75,7
76,9
77,7
78,7
79,7
80,1
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,1
89,7
90,7
91,1
92,1
93,1
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,1
110,7
111,7
112,1
113,7
114,1
115,7
116,9
117,1
118,7
119,7
120,7
121,7
122,1
123,1
124,7
125,7
126,9
127,9
128,7
129,7
130,1
131,7
132,7
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,1
148,7
149,7
150,7
151,1
152,7
153,7
154,7
155,1
156,1
157,7
158,1
159,7
160,6
161,7
162,7
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,7
171,7
172,1
173,8
174,7
175,6
176,7
177,7
178,7
179,7
180,7
181,1
182,7
183,1
184,1
185,7
186,9
187,7
188,7
189,7
190,7
191,7
192,7
193,1
194,7
195,7
196,7
197,7
198,7
199,7
200,7
201,7
202,7
203,7
204,7
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,3
219,7
220,7
221,7
222,7
223,7
224,7
225,7
226,1
227,1
228,1
229,7
230,7
231,7
232,7
233,7
234,7
235,7
236,1
237,6
238,7
239,7
240,7
241,4
242,1
243,4
244,7
245,7
246,1
247,7
248,7
249,7
250,7
251,1
252,7
253,7
254,9
255,5
256,9
257,7
258,7
259,7
260,9
261,4
262,7
263,7
264,1
265,1
266,1
267,7
268,7
269,7
270,7
271,6
272,1
273,4
274,1
275,1
276,1
277,9
278,9
279,9
280,9
281,9
282,9
283,9
284,7
285,7
286,1
287,1
288,1
289,7
290,7
291,7
292,7
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,4
327,9
328,4
329,8
330,8
331,4
332,8
333,4
334,1
335,1
336,1
337,7
338,1
339,7
340,1
341,7
342,7
343,6
344,7
345,7
346,7
347,7
348,7
349,1
350,1
351,1
352,1
353,7
354,1
355,9
356,1
357,7
358,1
359,1
360,1
361,1
362,7
363,7
364,1
365,7
366,1
367,7
368,7
369,1
370,7
371,1
372,1
373,1
374,7
375,7
376,7
377,1
378,1
379,1
380,1
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,1
389,7
390,7
391,3
392,1
393,1
394,6
395,7
396,7
397,7
398,7
399,7
400,7
401,7
402,7
403,7
404,7
405,7
406,1
407,1
408,1
409,7
410,9
411,9
412,7
413,9
414,7
415,1
416,7
417,1
418,1
419,1
420,7
421,7
422,4
423,7
424,7
425,7
426,7
427,7
428,7
429,7
430,7
431,7
432,7
433,7
434,4
435,4
436,4
437,4
438,4
439,4
440,4
441,4
442,4
443,7
444,7
445,7
446,7
447,1
448,1
449,1
450,8
451,8
452,7
453,7
454,7
455,7
456,7
457,7
458,7
459,8
460,8
461,7
462,7
463,8
464,7
465,7
466,7
467,8
468,8
469,7
470,1
471,7
472,7
473,7
474,7
475,7
476,7
477,1
478,1
479,1
480,1
481,1
482,7
483,6
484,7
485,7
486,1
487,7
488,7
489,7
490,7
491,7
492,7
493,7
494,7
495,7
496,7
497,1
498,7
499,7
500,7
501,1
502,2
503,7
504,7
505,1
506,7
507,7
508,7
509,7
510,7
511,1
512,7
513,7
514,7
515,1
516,9
517,7
518,7
519,7
520,7
521,1
522,7
523,6
524,9
525,1
526,1
527,7
528,7
529,7
530,7
531,1
532,1
533,1
534,7
535,1
536,7
537,7
538,1
539,7
540,7
541,1
542,7
543,7
544,7
545,7
546,8
547,7
548,1
549,9
550,1
551,1
552,1
553,7
554,1
555,1
556,1
557,1
558,7
559,7
560,1
561,1
562,1
563,1
564,7
565,1
566,1
567,1
568,7
569,7
570,7
571,7
572,7
573,7
574,6
575,7
576,7
577,7
578,7
579,7
580,7
581,7
582,7
583,7
584,7
585,7
586,7
587,7
588,7
589,1
590,7
591,7
592,1
593,7
594,1
595,7
596,7
597,7
598,7
599,1
600,7
601,7
602,3
603,1
604,1
605,1
606,1
607,1
608,7
609,1
610,7
611,7
612,7
613,7
614,1
615,1
616,1
617,1
618,7
619,7
620,7
621,7
622,7
623,7
624,7
625,7
626,7
627,7
628,1
629,1
630,7
631,7
632,7
633,7
634,7
635,7
636,7
637,7
638,5
639,5
640,1
641,1
642,1
643,0
644,7
645,3
646,4
647,7
648,4
649,4
650,7
651,7
652,7
653,7
654,7
655,7
656,7
657,7
658,7
659,7
660,7
661,7
662,7
663,0
664,7
665,7
666,7
667,7
668,7
669,7
670,7
