job_id,profile,confidence,rationale,job_tasks,technologies,soft_skills
0,ML Engineer,4.0,"The job title 'Lead ML Engineer, Recommendations' and the description's focus on building 'state-of-the-art recommender system' strongly indicate a role centered around predictive modeling and MLOps. While Generative AI is not explicitly mentioned, the core tasks align with traditional ML engineering for predictive systems.","[{""phrase"": ""Lead ML Engineer, Recommendations"", ""category"": ""Modeling"", ""justification"": ""The title explicitly mentions 'ML Engineer' and 'Recommendations', which are core to building predictive models for suggesting items or content.""}, {""phrase"": ""build a state-of-the-art recommender system"", ""category"": ""Modeling"", ""justification"": ""This phrase directly describes the process of creating and implementing predictive models, specifically for recommendation engines.""}]",[],"[{""phrase"": ""Lead"", ""category"": ""Innovation & Ownership"", ""justification"": ""The term 'Lead' implies taking initiative, responsibility, and potentially championing projects or ideas.""}]"
1,GenAI Engineer,4.0,"The role emphasizes building and deploying applications using GenAI tools like ChatGPT and LangChain, along with experience in RAG concepts (implied by vector databases and LLM frameworks). While ML modeling is mentioned, the focus on user-facing APIs and GenAI tools points more towards a GenAI Engineer profile than a pure ML Engineer.","[{""task"": ""TASK1: Business Understanding"", ""evidence"": [{""phrase"": ""helping ambitious leaders and organisations build the teams, products, processes and even operational structures they need to close the digital skills gap within their organisation today, so that they thrive tomorrow."", ""justification"": ""This phrase describes the company's overarching goal of helping clients with their digital transformation and strategic objectives, indicating a need for understanding business context.""}, {""phrase"": ""Clients rely on our experience, agility and craft skills across tech and business strategy, software development and product management to address some of the toughest challenges facing their businesses."", ""justification"": ""Highlights the integration of business strategy and addressing client business challenges, requiring business understanding.""}, {""phrase"": ""Work closely with clients to help implement, review or remediate their machine learning strategies."", ""justification"": ""Directly involves understanding and advising on clients' strategic approaches to machine learning.""}]}, {""task"": ""TASK2: Data Engineering"", ""evidence"": [{""phrase"": ""Guide and support the improvement of data skills for the junior developers in your team."", ""justification"": ""Suggests a need to mentor and improve data handling and processing skills within the team.""}, {""phrase"": ""Experience in the field of Data Engineering, Science or Analytics"", ""justification"": ""Explicitly mentions experience in Data Engineering as a beneficial skill.""}, {""phrase"": ""Experience of using modern and traditional data technologies including: ElasticSearch, MongoDB, PostgreSQL, mySQL/mariaDB, etc.."", ""justification"": ""Indicates familiarity with various data storage and processing technologies, which are foundational to data engineering.""}]}, {""task"": ""TASK3: Modeling"", ""evidence"": [{""phrase"": ""Proficiency in researching, training, building, evaluating, scaling and improving Machine Learning models."", ""justification"": ""This is a core description of the modeling lifecycle for traditional ML models.""}, {""phrase"": ""Experience with AI/ML toolkits and libraries. Particularly; PyTorch, Transformers, Gradio, Jupyter Notebook, NumPy, Pandas, Matplotlib, Scikit-Learn."", ""justification"": ""Lists specific libraries and toolkits used for model development, training, and evaluation.""}, {""phrase"": ""Understanding of the mathematical foundations of ML algorithms."", ""justification"": ""Requires a deep understanding of how ML models work mathematically.""}, {""phrase"": ""Experience working with GenAI tools (ChatGPT, OpenAI APIs, Long Chain, etc...)"", ""justification"": ""Directly relates to working with generative models and their associated APIs/frameworks.""}]}, {""task"": ""TASK4: Software Development"", ""evidence"": [{""phrase"": ""AI/ML Senior Full-Stack Engineer"", ""justification"": ""The title itself indicates a full-stack engineering role, implying software development across the stack.""}, {""phrase"": ""Proficiency in writing and testing production-ready Python"", ""justification"": ""Focuses on writing code that is ready for production, a key aspect of software development.""}, {""phrase"": ""Proficiency in Python and Javascript"", ""justification"": ""Specifies programming languages commonly used in full-stack development.""}, {""phrase"": ""Experience in building and maintaining RESTFul ML model APIs"", ""justification"": ""Directly involves developing and maintaining software interfaces for ML models.""}, {""phrase"": ""building the teams, products, processes and even operational structures they need to close the digital skills gap within their organisation today, so that they thrive tomorrow."", ""justification"": ""Implies building and delivering digital products and solutions.""}]}, {""task"": ""TASK5: Operations Engineering (MLOps)"", ""evidence"": [{""phrase"": ""Understanding of MLOps best practices."", ""justification"": ""Explicitly states the need for understanding MLOps.""}, {""phrase"": ""Proficiency in MLOps and wider DevOps"", ""justification"": ""Mentions MLOps and DevOps as a desired proficiency, indicating operational aspects of deploying and managing systems.""}, {""phrase"": ""scaling and improving Machine Learning models."", ""justification"": ""Scaling models in production is a key MLOps concern.""}, {""phrase"": ""Experience working in Azure"", ""justification"": ""Azure is a cloud platform that hosts many MLOps services and infrastructure.""}]}]","[{""tech"": ""TECH1: Programming Languages"", ""items"": [""Python"", ""Javascript""]}, {""tech"": ""TECH2: Cloud Platforms & Services"", ""items"": [""Azure"", ""OpenAI APIs""]}, {""tech"": ""TECH3: LLM / Generative Models"", ""items"": [""ChatGPT"", ""GenAI tools""]}, {""tech"": ""TECH4: LLM Frameworks & Libraries"", ""items"": [""Long Chain"", ""Transformers"", ""Gradio""]}, {""tech"": ""TECH5: Vector Stores & Search"", ""items"": [""Azure Cognitive Search"", ""FAISS"", ""Pinecone""]}, {""tech"": ""TECH6: MLOps & Data Pipelines"", ""items"": [""MLOps best practices"", ""DevOps""]}, {""tech"": ""TECH7: Data Visualization"", ""items"": [""Matplotlib""]}, {""tech"": ""TECH8: Data Processing"", ""items"": [""NumPy"", ""Pandas""]}, {""tech"": ""TECH9: Data Storage"", ""items"": [""ElasticSearch"", ""MongoDB"", ""PostgreSQL"", ""mySQL/mariaDB""]}, {""tech"": ""TECH10: Data Modeling"", ""items"": [""PyTorch"", ""Scikit-Learn""]}, {""tech"": ""TECH11: Data Analysis"", ""items"": [""Jupyter Notebook""]}]","[{""skill"": ""SKILL1: Communication & Collaboration"", ""evidence"": [{""phrase"": ""Work with junior developers in the field of AI and ML engineering on your team through technical issues."", ""justification"": ""Implies guiding and communicating technical solutions to less experienced team members.""}, {""phrase"": ""Guide and support the improvement of data skills for the junior developers in your team."", ""justification"": ""Requires communication and mentorship to improve others' skills.""}, {""phrase"": ""Work closely with clients to help implement, review or remediate their machine learning strategies."", ""justification"": ""Involves direct interaction and collaboration with clients.""}, {""phrase"": ""work closely with clients to help implement, review or remediate their machine learning strategies."", ""justification"": ""Directly involves client interaction and collaboration.""}]}, {""skill"": ""SKILL2: Learning & Adaptability"", ""evidence"": [{""phrase"": ""As an AI/ML Full Stack Engineer, at AND Digital you'll act as a hands on, Engineer working across a Club's portfolio of clients, onsite and in multi-skilled agile delivery teams."", ""justification"": ""Working across a portfolio of clients and in agile teams suggests a need to adapt to different environments and projects.""}, {""phrase"": ""A keen interest in industry best-practice around standards, quality and continuous improvement in the field of Data Science (AI/GenAI/ML)"", ""justification"": ""Indicates a need to stay updated with evolving best practices in a fast-paced field.""}, {""phrase"": ""AND is growing fast and forging a new trail. That's exciting, and gives us all the autonomy and opportunity we love - but bear in mind it also demands focus, patience and resilience."", ""justification"": ""The company's growth and new trail imply a dynamic environment requiring adaptability.""}]}, {""skill"": ""SKILL3: Problem Solving & Pragmatism"", ""evidence"": [{""phrase"": ""address some of the toughest challenges facing their businesses."", ""justification"": ""Highlights the nature of the work as solving complex business problems.""}, {""phrase"": ""We bring aboard thinkers, tinkerers, passionate software craftspeople and inspiring technologists to help us solve these challenges."", ""justification"": ""Emphasizes problem-solving and finding solutions.""}, {""phrase"": ""Together, we're united by a sense of pragmatism, purpose and a deeply-held belief that digital products and technology alone won't transform a business or save the world: it's the people that count."", ""justification"": ""Explicitly mentions pragmatism as a core value.""}, {""phrase"": ""Work with junior developers in the field of AI and ML engineering on your team through technical issues."", ""justification"": ""Involves troubleshooting and resolving technical issues for team members.""}]}, {""skill"": ""SKILL4: Ethical & Legal Responsibility"", ""evidence"": [{""phrase"": ""We're built for people - like, real humans. Not 'resources' or 'staff'. That means happiness and wellbeing really do matter to us, and we hate unnecessary hierarchy and bureaucracy."", ""justification"": ""While not directly AI ethics, it points to a people-centric approach which can extend to responsible AI development.""}, {""phrase"": ""Diversity is a priority. After all, to build great products that a wide variety of different people love to use, we need a wide variety of people to help us build them. So diversity is more than a policy or a word: it's business critical for us."", ""justification"": ""Focus on diversity and inclusion in building products can imply a consideration for fairness and bias in AI systems.""}]}, {""skill"": ""SKILL5: Innovation & Ownership"", ""evidence"": [{""phrase"": ""AI/ML Senior Full-Stack Engineer"", ""justification"": ""The 'Senior' title often implies taking ownership and driving initiatives.""}, {""phrase"": ""accelerate the development of digital capabilities."", ""justification"": ""Suggests a proactive approach to driving progress and innovation.""}, {""phrase"": ""AND is growing fast and forging a new trail. That's exciting, and gives us all the autonomy and opportunity we love - but bear in mind it also demands focus, patience and resilience."", ""justification"": ""The mention of forging a new trail and autonomy suggests an environment that values innovation and initiative.""}]}]"
10,Ambiguous / Not Relevant,2.0,"The job description focuses on traditional full-stack web development, with no mention of AI, machine learning, or generative models. The tasks described align with general software development rather than specialized AI engineering roles.","[{""task_category"": ""TASK4: Software Development"", ""phrases"": [""Ontwerpen, ontwikkelen en implementeren van end-to-end webapplicaties met behulp van moderne frameworks en technologieën"", ""Bouwen van efficiënte en schaalbare back-endsystemen en API's voor naadloze gegevensintegratie"", ""Creëren van intuïtieve gebruikersinterfaces en boeiende gebruikerservaringen met behulp van HTML, CSS en JavaScript"", ""Uitvoeren van grondige tests en debugging om de kwaliteit en prestaties van de ontwikkelde applicaties te waarborgen"", ""Bieden van technische ondersteuning en probleemoplossing voor bestaande softwaresystemen""], ""justification"": ""These phrases describe the core activities of building, integrating, deploying, and maintaining software applications, including front-end, back-end, and API development, as well as testing and support.""}, {""task_category"": ""TASK1: Business Understanding"", ""phrases"": [""Samenwerken met interdisciplinaire teams om vereisten te verzamelen en deze te vertalen naar technische oplossingen""], ""justification"": ""This phrase indicates the need to understand business requirements and translate them into technical solutions, which is a key aspect of business understanding in a development context.""}, {""task_category"": ""SKILL2: Learning & Adaptability"", ""phrases"": [""Op de hoogte blijven van de nieuwste trends in de branche en opkomende technologieën om de ontwikkelingspraktijken voortdurend te verbeteren""], ""justification"": ""This phrase highlights the importance of staying updated with industry trends and emerging technologies, which directly relates to continuous learning and adaptability.""}]","[{""technology"": ""HTML"", ""category"": ""TECH1: Programming Languages""}, {""technology"": ""CSS"", ""category"": ""TECH1: Programming Languages""}, {""technology"": ""JavaScript"", ""category"": ""TECH1: Programming Languages""}]","[{""skill_category"": ""SKILL1: Communication & Collaboration"", ""phrases"": [""Samenwerken met interdisciplinaire teams om vereisten te verzamelen en deze te vertalen naar technische oplossingen""]}, {""skill_category"": ""SKILL2: Learning & Adaptability"", ""phrases"": [""Op de hoogte blijven van de nieuwste trends in de branche en opkomende technologieën om de ontwikkelingspraktijken voortdurend te verbeteren""]}, {""skill_category"": ""SKILL3: Problem Solving & Pragmatism"", ""phrases"": [""Bieden van technische ondersteuning en probleemoplossing voor bestaande softwaresystemen"", ""Uitvoeren van grondige tests en debugging om de kwaliteit en prestaties van de ontwikkelde applicaties te waarborgen""]}]"
100,Ambiguous / Not Relevant,1.0,"The job description focuses heavily on traditional systems engineering, infrastructure management, and cloud operations, with no mention of AI, machine learning, or generative models. The core responsibilities are centered around Linux systems, networking, and cloud infrastructure deployment and maintenance, which falls outside the scope of AI-focused roles.","[{""task_category"": ""TASK1: Business Understanding"", ""phrases"": [{""phrase"": ""Provide a flexible infrastructure to the rest of the company"", ""justification"": ""This phrase indicates an understanding of how the infrastructure supports the broader company's needs and goals.""}, {""phrase"": ""Work with a DevOps mindset with other teams within the company to bring our products to a large number of corporate customers worldwide."", ""justification"": ""This highlights the need to understand how infrastructure and product delivery contribute to business objectives and customer reach.""}]}, {""task_category"": ""TASK2: Data Engineering"", ""phrases"": []}, {""task_category"": ""TASK3: Modeling"", ""phrases"": []}, {""task_category"": ""TASK4: Software Development"", ""phrases"": [{""phrase"": ""Design, deploy (via Terraform), and manage AWS cloud infrastructure components"", ""justification"": ""While focused on infrastructure, the design and deployment aspects using tools like Terraform involve software development principles for infrastructure as code.""}]}, {""task_category"": ""TASK5: Operations Engineering (MLOps)"", ""phrases"": [{""phrase"": ""Achieve uptime >99.99%."", ""justification"": ""This is a key operational metric for ensuring service availability and reliability, a core concern in MLOps.""}, {""phrase"": ""Manage and expand the physical servers, OS's and networks in multiple datacenters, including our AWS cloud platforms."", ""justification"": ""This describes the management and maintenance of production infrastructure, a fundamental aspect of operations engineering.""}, {""phrase"": ""Operate and improve our automation tooling."", ""justification"": ""Automation is a critical component of efficient operations and MLOps pipelines.""}, {""phrase"": ""Participate in 24/7 on-call rotation schedule."", ""justification"": ""This indicates responsibility for maintaining production systems and responding to incidents, a common duty in operations roles.""}, {""phrase"": ""Manage & Support our Cloud Infrastructure"", ""justification"": ""Directly relates to the operational management of cloud-based systems.""}, {""phrase"": ""Optimize cloud resources for cost efficiency and performance."", ""justification"": ""Performance and cost optimization are key operational concerns for deployed systems.""}, {""phrase"": ""Monitor and maintain high availability and fault tolerance of cloud services."", ""justification"": ""Monitoring and ensuring high availability are core responsibilities of operations engineering.""}, {""phrase"": ""Ensure compliance with security best practices and industry standards."", ""justification"": ""Security and compliance are crucial aspects of maintaining production systems.""}]}]","[{""technology"": ""Linux"", ""category"": ""TECH1: Programming Languages""}, {""technology"": ""AWS"", ""category"": ""TECH2: Cloud Platforms & Services""}, {""technology"": ""Terraform"", ""category"": ""TECH4: LLM Frameworks & Libraries""}, {""technology"": ""EC2 instances"", ""category"": ""TECH2: Cloud Platforms & Services""}, {""technology"": ""VPC"", ""category"": ""TECH2: Cloud Platforms & Services""}, {""technology"": ""EKS"", ""category"": ""TECH2: Cloud Platforms & Services""}, {""technology"": ""S3"", ""category"": ""TECH2: Cloud Platforms & Services""}, {""technology"": ""EFS"", ""category"": ""TECH2: Cloud Platforms & Services""}]","[{""skill_category"": ""SKILL1: Communication & Collaboration"", ""phrases"": [{""phrase"": ""You will work in a team of highly skilled engineers""}, {""phrase"": ""Work with a DevOps mindset with other teams within the company""}]}, {""skill_category"": ""SKILL2: Learning & Adaptability"", ""phrases"": [{""phrase"": ""Understand a complex technical architecture with a high degree of customisation.""}]}, {""skill_category"": ""SKILL3: Problem Solving & Pragmatism"", ""phrases"": [{""phrase"": ""Achieve uptime >99.99%.""}, {""phrase"": ""Manage and expand the physical servers, OS's and networks""}, {""phrase"": ""Operate and improve our automation tooling.""}, {""phrase"": ""Optimize cloud resources for cost efficiency and performance.""}, {""phrase"": ""Monitor and maintain high availability and fault tolerance of cloud services.""}]}, {""skill_category"": ""SKILL5: Innovation & Ownership"", ""phrases"": [{""phrase"": ""Operate and improve our automation tooling.""}, {""phrase"": ""Design, deploy (via Terraform), and manage AWS cloud infrastructure components""}]}]"
1000,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional platform engineering, infrastructure automation, and cloud engineering without mentioning any specific AI or ML technologies or tasks. While it mentions learning new technologies, there's no indication that these would be AI-related.","[{""task_category"": ""TASK4: Software Development"", ""phrase"": ""infrastructure automation"", ""justification"": ""Infrastructure automation is a core aspect of modern software development and operations, focusing on scripting and tooling to manage and deploy infrastructure.""}, {""task_category"": ""TASK4: Software Development"", ""phrase"": ""continuous integration"", ""justification"": ""Continuous Integration (CI) is a software development practice where developers merge their code changes into a central repository frequently, after which automated builds and tests are run.""}, {""task_category"": ""TASK4: Software Development"", ""phrase"": ""cloud engineering"", ""justification"": ""Cloud engineering involves designing, building, and managing cloud-based infrastructure and services, which is a form of software development focused on the operational environment.""}, {""task_category"": ""TASK1: Business Understanding"", ""phrase"": ""Collaborate with cross-functional teams to deliver self-service capabilities and enhance the developer experience."", ""justification"": ""This phrase indicates an understanding of business needs (developer experience, self-service capabilities) and the ability to translate them into technical solutions through collaboration.""}, {""task_category"": ""TASK5: Operations Engineering (MLOps)"", ""phrase"": ""infrastructure automation"", ""justification"": ""While broadly software development, infrastructure automation is a key component of MLOps for managing and deploying ML infrastructure.""}, {""task_category"": ""TASK5: Operations Engineering (MLOps)"", ""phrase"": ""continuous integration"", ""justification"": ""Continuous Integration is a fundamental practice in MLOps for automating build and test processes for ML models and infrastructure.""}, {""task_category"": ""TASK5: Operations Engineering (MLOps)"", ""phrase"": ""cloud engineering on AWS"", ""justification"": ""Cloud engineering, particularly on platforms like AWS, is essential for deploying and managing ML/GenAI models in production environments, aligning with MLOps principles.""}, {""task_category"": ""SKILL3: Problem Solving & Pragmatism"", ""phrase"": ""Make autonomous decisions and demonstrate leadership under uncertainty."", ""justification"": ""This highlights the ability to solve complex problems and make decisions independently, even when faced with ambiguity.""}, {""task_category"": ""SKILL2: Learning & Adaptability"", ""phrase"": ""Explore, learn, and experiment with new technologies and methodologies to drive innovation."", ""justification"": ""This directly speaks to the need for continuous learning and adapting to new tools and approaches in a fast-paced technological landscape.""}]","[{""tech_category"": ""TECH2: Cloud Platforms & Services"", ""tech_name"": ""AWS""}]","[{""skill_category"": ""SKILL1: Communication & Collaboration"", ""skill_name"": ""Collaborate with cross-functional teams""}, {""skill_category"": ""SKILL5: Innovation & Ownership"", ""skill_name"": ""Lead technical and delivery work""}, {""skill_category"": ""SKILL5: Innovation & Ownership"", ""skill_name"": ""Provide technical supervision""}, {""skill_category"": ""SKILL5: Innovation & Ownership"", ""skill_name"": ""Make autonomous decisions""}, {""skill_category"": ""SKILL5: Innovation & Ownership"", ""skill_name"": ""demonstrate leadership under uncertainty""}, {""skill_category"": ""SKILL2: Learning & Adaptability"", ""skill_name"": ""Explore, learn, and experiment with new technologies and methodologies""}, {""skill_category"": ""SKILL5: Innovation & Ownership"", ""skill_name"": ""drive innovation""}]"
1001,GenAI Engineer,4.0,"The job description heavily emphasizes working with LLMs, prompt engineering, embeddings, and tool/function calling to develop innovative solutions with generative AI. It also mentions building and enhancing the AI user experience and collaborating with ML engineers, aligning strongly with the core responsibilities of a GenAI Engineer.",[],"[{""tech_name"": ""TECH1: Programming Languages"", ""items"": [""Typescript"", ""PHP"", ""Golang""]}, {""tech_name"": ""TECH2: Cloud Platforms & Services"", ""items"": [""LLMs (SaaS and self-hosted)""]}, {""tech_name"": ""TECH3: LLM / Generative Models"", ""items"": [""LLMs""]}, {""tech_name"": ""TECH4: LLM Frameworks & Libraries"", ""items"": [""prompt engineering"", ""embeddings"", ""tool/function calling""]}, {""tech_name"": ""TECH9: Data Storage"", ""items"": [""MySQL"", ""CouchDB"", ""Redis"", ""ElasticSearch""]}, {""tech_name"": ""TECH6: MLOps & Data Pipelines"", ""items"": [""RabbitMQ"", ""Kafka""]}, {""tech_name"": ""TECH10: Data Modeling"", ""items"": [""ML models""]}]",[]
1002,,,,[],"[{""tech_name"": ""TECH3: LLM / Generative Models"", ""phrases"": [""LLM's"", ""AI modellen""]}, {""tech_name"": ""TECH2: Cloud Platforms & Services"", ""phrases"": [""Nvidia-stack""]}, {""tech_name"": ""TECH6: MLOps & Data Pipelines"", ""phrases"": [""machine learning pipeline""]}]",[]
1003,ML Engineer,4.0,"The job description heavily emphasizes building, training, and implementing advanced machine learning models for predictive analytics and recommendation systems. While generative AI is mentioned as an area for exploration, the core responsibilities and technologies (TensorFlow, PyTorch, Scikit-learn) align most closely with traditional ML Engineering.",[],"[{""tech_name"": ""TensorFlow"", ""category"": ""TECH10: Data Modeling""}, {""tech_name"": ""PyTorch"", ""category"": ""TECH10: Data Modeling""}, {""tech_name"": ""Scikit-learn"", ""category"": ""TECH10: Data Modeling""}]",[]
1004,,,,[],[],[]
1005,Ambiguous / Not Relevant,2.0,"The job title 'No-Code Developer (AI & Automation)' and the lack of specific technical skills or responsibilities related to AI model development, data engineering, or MLOps suggest this role is not a core AI engineering position. It likely focuses on using existing AI tools and platforms to build automated workflows rather than developing AI systems themselves.",[],[],[]
