job_id,profile,confidence,rationale
0,ML Engineer,4.0,"The job title 'Lead ML Engineer, Recommendations' and the description's focus on building 'state-of-the-art recommender system' strongly indicate a role centered around predictive modeling and MLOps. While Generative AI is not explicitly mentioned, the core tasks align with traditional ML engineering for predictive systems."
1,GenAI Engineer,4.0,"The role emphasizes building and deploying applications using GenAI tools like ChatGPT and LangChain, along with experience in RAG concepts (implied by vector databases and LLM frameworks). While ML modeling is mentioned, the focus on user-facing APIs and GenAI tools points more towards a GenAI Engineer profile than a pure ML Engineer."
10,Ambiguous / Not Relevant,2.0,"The job description focuses on traditional full-stack web development, with no mention of AI, machine learning, or generative models. The tasks described align with general software development rather than specialized AI engineering roles."
100,Ambiguous / Not Relevant,1.0,"The job description focuses heavily on traditional systems engineering, infrastructure management, and cloud operations, with no mention of AI, machine learning, or generative models. The core responsibilities are centered around Linux systems, networking, and cloud infrastructure deployment and maintenance, which falls outside the scope of AI-focused roles."
1000,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional platform engineering, infrastructure automation, and cloud engineering without mentioning any specific AI or ML technologies or tasks. While it mentions learning new technologies, there's no indication that these would be AI-related."
1001,GenAI Engineer,4.0,"The job description heavily emphasizes working with LLMs, prompt engineering, embeddings, and tool/function calling to develop innovative solutions with generative AI. It also mentions building and enhancing the AI user experience and collaborating with ML engineers, aligning strongly with the core responsibilities of a GenAI Engineer."
1002,nan,,
1003,ML Engineer,4.0,"The job description heavily emphasizes building, training, and implementing advanced machine learning models for predictive analytics and recommendation systems. While generative AI is mentioned as an area for exploration, the core responsibilities and technologies (TensorFlow, PyTorch, Scikit-learn) align most closely with traditional ML Engineering."
1004,nan,,
1005,Ambiguous / Not Relevant,2.0,"The job title 'No-Code Developer (AI & Automation)' and the lack of specific technical skills or responsibilities related to AI model development, data engineering, or MLOps suggest this role is not a core AI engineering position. It likely focuses on using existing AI tools and platforms to build automated workflows rather than developing AI systems themselves."
1006,GenAI Engineer,4.0,"The job description emphasizes building user-facing software products using AI, specifically mentioning AI assistants, chatbots, and applications for end-users. It highlights working with diverse AI projects and integrating AI into robust software solutions, aligning with the core responsibilities of a GenAI Engineer."
1007,nan,,
1008,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional backend software engineering for product catalogs, with only a minor mention of AI/LLMs for product enhancement. The core responsibilities and technologies listed are not indicative of a specialized AI or ML engineering role."
1009,ML Engineer,4.0,"The job description heavily emphasizes the development and implementation of advanced predictive models and algorithms, including classification, regression, and optimization. While NLP is mentioned, the core focus aligns more with traditional ML engineering tasks than generative AI applications."
101,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional backend software engineering for cloud-native environments and distributed systems, with a mention of LLM applications. However, it lacks specific details on generative AI tasks like fine-tuning, RAG, or prompt engineering, making it lean towards a general software engineering role rather than a specialized GenAI Engineer."
1010,GenAI Engineer,4.0,"The job description emphasizes building and improving a Generative AI product (GenIA-L) for the legal sector. Key responsibilities include integrating internal documents (RAG), setting up a case-builder, and enhancing the codebase, all within the context of generative AI and machine learning models (open-source and GPT)."
1011,nan,,
1012,Ambiguous / Not Relevant,2.0,"The job description is very high-level and lacks specific technical details about the tasks, models, or technologies involved. It mentions 'AI strategy' and 'AI R&D' but does not provide enough information to classify it as a specific AI engineering role like ML Engineer or GenAI Engineer."
1013,nan,,
1014,GenAI Engineer,4.0,"The role emphasizes building applications that leverage internal documents using AI, specifically mentioning GPT models and machine learning. It also involves developing a 'case-builder' and improving a codebase, aligning with the GenAI Engineer's focus on user-facing systems and integrating generative models."
1015,Ambiguous / Not Relevant,2.0,"The role focuses heavily on customer enablement, training, and feedback collection rather than core AI development or engineering. While it involves AI solutions, the primary tasks are customer-facing and support-oriented, not building or deploying AI models."
1016,nan,,
1017,nan,,
1018,Ambiguous / Not Relevant,2.0,"The job description focuses heavily on traditional C++ software engineering and NX CAM software development. While 'AI' is mentioned in the title, the core responsibilities do not involve building, fine-tuning, or deploying AI models, nor do they align with the typical tasks of an ML or GenAI Engineer."
